,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,date_millesime
20530,France,"The lightest touch of wood gives this wine a full, rich character. Weight and density are balanced by the intense acidity. Melon, apricots and citrus are all blended in this ripe wine. Drink from 2022.",,90,42.0,Burgundy,Meursault,,Roger Voss,@vossroger,Château de Santenay 2021  Meursault,Chardonnay,Château de Santenay,2021
20531,France,"This perfumed wine comes from the home vineyard of the producer. With soft tannins and juicy red-berry fruit, the wine is straightforward, delicious and very much in the style of the vintage. It has a crisp end of acidity that gives it just the right lift. Drink from 2022.",Les Beaumonts,90,28.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2021 Les Beaumonts  (Chorey-lès-Beaune),Pinot Noir,Domaine Arnoux Père et Fils,2021
20833,France,"A very buttery wine, it is soft, smooth and creamy in texture. Contrasting citrus flavors add a crisp touch. The acidity winds through the ripe fruit to give a bright edge.",,89,140.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Domaine Sophie Cinier 2018  Saint-Véran,Chardonnay,Domaine Sophie Cinier,2018
20847,France,"A structured, cool wine that is poised and elegant, it has a lightly creamy texture cut by apple and pear flavors. Definitely mineral, it is textured with fruit skins and flavored with the oak aging. It needs to be aged, so don't drink before 2020.",Réserve Personelle,89,44.0,Burgundy,Pernand-Vergelesses,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2018 Réserve Personelle  (Pernand-Vergelesses),Chardonnay,Jean-Luc and Paul Aegerter,2018
20850,France,This attractive village wine has ripe fruits as well as a more steely texture. Wood flavors give smoothness that rounds out the wine and enhances the yellow fruit flavors. Drink now.,,89,60.0,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Louis Latour 2017  Puligny-Montrachet,Chardonnay,Louis Latour,2017
20853,France,"While the wine is structured, it does also have plenty of ripe, juicy fruitiness that is already delicious. It's an open wine, rounded and rich in fruit flavor. The tannins are likely to smooth out soon, so drink from 2020.",Château de Mercey,89,31.0,Burgundy,Santenay,,Roger Voss,@vossroger,Antonin Rodet 2017 Château de Mercey  (Santenay),Pinot Noir,Antonin Rodet,2017
20855,France,"Bright and fruity, it's full of fresh acidity and has a strongly mineral texture. Green fruits, apples and pears partner with a strong citrus element. Wait until 2019.",La Roche,89,39.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Bret Brothers 2018 La Roche  (Pouilly-Fuissé),Chardonnay,Bret Brothers,2018
20858,France,"Structured, mineral and tense, this is a classic Pouilly Fuissé. It has lemon and crisp sliced white fruits, very linear in character with a bright, tight texture. The wine is young and could age until 2020.",,86,23.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Jaffelin 2019  Pouilly-Fuissé,Chardonnay,Jaffelin,2019
20859,France,"This is an attractive and fruity, creamy wine. Flavors of ripe apples and pear juice are boosted by the nutty suggestion of bottle age and by a tight, crisp acidity at the end.",Brut,86,44.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Jaffelin NV Brut  (Crémant de Bourgogne),Chardonnay,Jaffelin,
20861,France,"The 50-50 blend of Chardonnay and Aligoté gives a tangy, zesty lemon-flavored wine. It has a textured character, crisp and full of the freshest acidity. It could benefit from a few months in bottle, so when you buy, wait a little.",Blanc de Blancs Brut,86,51.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Cave de Bissey NV Blanc de Blancs Brut  (Crémant de Bourgogne),Sparkling Blend,Cave de Bissey,
20864,France,"Earthy aromas and a soft red fruit ripeness are dominated by wood and smoky spice. They give an unbalanced feel to the wine, not allowing much room for the potential of the fruitiness and acidity.",Epineuil,86,20.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Simonnet-Febvre 2018 Epineuil  (Bourgogne),Pinot Noir,Simonnet-Febvre,2018
20871,France,"Jadot's take on Burgundy Chardonnay is fruity and creamy. Juicy, intense acidity comes from the crisp apple and white peach fruits. A touch of wood aging softens the fruit and broadens the character of the wine. Drink now.",,86,18.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Louis Jadot 2019  Bourgogne,Chardonnay,Louis Jadot,2019
20994,France,"This 100% Pinot Noir rosé, produced in the northern Burgundy village of Saint-Bris, is packed with fruit. It shows a light touch of red cherry fruit and plenty of bright acidity. Along with the citrus aftertaste, this is a refreshing apéritif wine.",,85,14.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Robert Goulley 2022  Bourgogne,Rosé,Robert Goulley,2022
20999,France,"Produced from old vines in the Aegerter Domaine, this wine is dominated by red fruits and spice from wood aging. It is fruity, perfumed and likely to be ready to drink soon. Drink from 2022.",Vieilles Vignes,85,17.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2021 Vieilles Vignes  (Bourgogne),Pinot Noir,Jean-Luc and Paul Aegerter,2021
21000,France,"Light and crisp, this wine has citrus and green-plum flavors. It is still developing, with plenty of acidity as well a perfumed character. Drink this attractive wine from 2022.",Petit Vallons,85,12.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2022 Petit Vallons  (Mâcon-Villages),Chardonnay,Jean-Luc and Paul Aegerter,2022
21009,France,This wine is very soft and only lightly fruity. Some spice and touches of acidity give a crisp edge to the otherwise dull wine.,Collection,84,19.0,Burgundy,Mercurey,,Roger Voss,@vossroger,L. Tramier & Fils 2021 Collection  (Mercurey),Chardonnay,L. Tramier & Fils,2021
21015,France,"This rounded, creamy wine is attractive, with rich apricots and balanced zesty acidity. It is ready to drink.",,84,11.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Domaine des Verchères 2022  Mâcon-Villages,Chardonnay,Domaine des Verchères,2022
21137,France,"Named after the church which is next to the Brocard winery, this crisp fruity wine is lively with acidity, lemon and apple fruits and a light tangy texture. The wine becomes more ripe as it opens up showing peach and apricot flavors at the end. Drink now.",Sainte-Claire,87,19.0,Burgundy,Chablis,,Roger Voss,@vossroger,Jean-Marc Brocard 2021 Sainte-Claire  (Chablis),Chardonnay,Jean-Marc Brocard,2021
21138,France,"Produced from vineyards in the hills above the Côte de Nuits, this wine benefits from the ripe vintage of 2019. It has open red fruit and soft tannins that are both lifted by the acidity. Made to be drunk young, this is ready to enjoy now.",Collection,87,20.0,Burgundy,Hautes Côtes de Nuits,,Roger Voss,@vossroger,L. Tramier & Fils 2021 Collection  (Hautes Côtes de Nuits),Pinot Noir,L. Tramier & Fils,2021
21143,France,"A blend of Gamay and Pinot Noir, this wine has qualities from both grapes. It has the bright cherry flavors of the Gamay and the rich, red-berry fruits of the Pinot Noir. They are finely integrated into this soft ripe wine that is ready to drink.",Cuvée Terroir,87,19.0,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Roche de Bellene 2020 Cuvée Terroir  (Coteaux Bourguignons),Pinot Noir-Gamay,Roche de Bellene,2020
21148,France,"The wine is soft and creamy. Made from fruit grown in the Mâcon region, it is ripe and with a good balance between citrus and melon flavors. The acidity and the attractive fruitiness have produced a wine that is ready to drink.",,87,18.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Domaine de la Denante 2021  Bourgogne,Chardonnay,Domaine de la Denante,2021
21149,France,"The Sacy is a rare variety found only in a corner of the Yonne Valley west of Chablis and in the small Loire appellation of Saint-Pourçain where it is known as Tressallier. This is a spicy wine with plenty of acidity and a crisp texture. It is fruity with green plum and a brilliant, fresh aftertaste. Drink now.",Cuvée Confidentielle,87,18.0,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Domaine Gueguen 2021 Cuvée Confidentielle  (Coteaux Bourguignons),Sacy,Domaine Gueguen,2021
21150,France,"This is a fresh, fruity and apple-crisp wine that is light, buoyant with acidity and shot with citrus. It is lightly mineral, textured and with attractive crispness at the end. The Devillard family bottles this wine on behalf the estate's owners. Drink now.",Domaine de la Garenne,87,21.0,Burgundy,Mâcon-Azé,,Roger Voss,@vossroger,Domaines Devillard 2020 Domaine de la Garenne  (Mâcon-Azé),Chardonnay,Domaines Devillard,2020
21221,France,"While it does have the structure of a Pommard, this is also a ripe, rounded wine. Its sweet red fruits surround the firm tannins offering richness. A wine that will offer sold pleasure in 3–4 years.",Rugiens Premier Cru,89,98.0,Burgundy,Pommard,,Roger Voss,@vossroger,Domaine Moillard 2015 Rugiens Premier Cru  (Pommard),Pinot Noir,Domaine Moillard,2015
21222,France,A beautifully perfumed wine that shows some of the structure of a Gevrey but combines this with dark rich fruits and sweet tannins. There is a smoky flavor that balances the ripe red fruits and final acidity.,,89,53.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Thierry Mortet 2015  Gevrey-Chambertin,Pinot Noir,Domaine Thierry Mortet,2015
21258,France,"A fresh wine with red cherry fruits giving a bright character, the tannins soft and with attractive acidity. It is lightly textured and should be ready to drink in 1–2 years.",,86,34.0,Burgundy,Côte de Nuits-Villages,,Roger Voss,@vossroger,Domaine Moillard 2015  Côte de Nuits-Villages,Pinot Noir,Domaine Moillard,2015
21360,France,"A deliciously rich wine, this is full of ripe fruit and rich wood and spice flavors. It is generous, layering peach and pear fruitiness cut with acidity. A tangy edge gives the wine an attractive bite. Drink now.",Domaine de la Garenne,86,18.0,Burgundy,Mâcon-Azé,,Roger Voss,@vossroger,Domaines Devillard 2021 Domaine de la Garenne  (Mâcon-Azé),Chardonnay,Domaines Devillard,2021
21365,France,"This wine is crisp and refreshingly fruity. A lively texture gives brightness, and a light touch of acidity finishes the wine on a citrus note. Drink now.",,85,12.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Joseph Drouhin 2022  Mâcon-Villages,Chardonnay,Joseph Drouhin,2022
21366,France,"Spiced-apple aromas lead to a soft, perfumed wine that has a crisp, fruity edge. The apple and green-plum flavors give attractive acidity. Drink now.",La Cour des Bois,85,18.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Marcel Couturier 2021 La Cour des Bois  (Saint-Véran),Chardonnay,Marcel Couturier,2021
21479,France,"This is an open delicious wine, full of red-cherry and red-currant fruit with a touch of minerality to add texture. Some wood aging has smoothed out the crisp fruit and added vanilla to the mix. Drink this ripe wine from 2022.",Buissonnier,87,18.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Vignerons de Buxy 2021 Buissonnier  (Côte Chalonnaise),Pinot Noir,Vignerons de Buxy,2021
21482,France,"One in a range of wines under the Xavier Flouret brand, this wine is made by Domaine Hamelin in Chablis. It is deliciously refreshing, with just the right edge of crispness to give it a lift. At the same time, its ripe, creamy texture blends with spiced-apple fruitiness. Drink the wine now.",Marly,87,19.0,Burgundy,Chablis,,Roger Voss,@vossroger,Xavier Flouret 2021 Marly  (Chablis),Chardonnay,Xavier Flouret,2021
21484,France,"This soft, ripe wine has good apricot and peach flavors alongside the crisper citrus acidity. It is spicy, fruity and ready to drink.",Vignes Blances,87,28.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Château de Beauregard 2021 Vignes Blances  (Pouilly-Fuissé),Chardonnay,Château de Beauregard,2021
21490,France,The wine is juicy with intense acidity. Its red-currant flavor is consistent with this acidity. Tannins are firm and will soften. The juicy aftertaste gives the wine crispness.,Aux Serpentières Premier Cru,87,32.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2021 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot,2021
21491,France,"This fruity wine is full of bright acidity. Crisp and clean, it shows yellow fruits and a shot of citrus. The aftertaste is lively and bright. Drink now.",Clos de la Bressande,87,17.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Domaine Sangouard-Guyot 2022 Clos de la Bressande  (Mâcon-Villages),Chardonnay,Domaine Sangouard-Guyot,2022
21492,France,"Bright and fruity, this delicious wine is crisp, clean and refreshing. With yellow fruits followed by zesty acidity, it's both open and textured. Drink now.",,87,16.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Domaine Touzot 2022  Mâcon-Villages,Chardonnay,Domaine Touzot,2022
21493,France,"From vines in the vineyards behind the Côtes de Nuits, this wine is warm, smooth and ripe. It offers yellow fruits as well as rich apple and enough acidity to give a crisp edge. It's attractive and will be ready to drink from 2022.",Domaine des Perdrix,87,24.0,Burgundy,Bourgogne Hautes Côtes de Nuits,,Roger Voss,@vossroger,Domaines Devillard 2021 Domaine des Perdrix  (Bourgogne Hautes Côtes de Nuits),Chardonnay,Domaines Devillard,2021
21504,France,"A touch of wood aging gives this wine richness, aided by the ripe fruit of the vintage. The wine is full with citrus, crisp apple and ripe pear. With its nervy texture and acidity, it needs to age a bit more. Drink from 2022.",Buissonnier,87,18.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Vignerons de Buxy 2021 Buissonnier  (Bourgogne),Chardonnay,Vignerons de Buxy,2021
21711,France,"Very opulent, very rich, this is a complex, structured wine packed with fruit and brooding tannins. It is already rich, and will develop into a beautifully intense, concentrated and generous wine.",Clos de la Roche,96,236.0,Burgundy,Clos de la Roche,,Roger Voss,@vossroger,Domaine Dujac 2015 Clos de la Roche  (Clos de la Roche),Pinot Noir,Domaine Dujac,2015
21712,France,"A sumptuous wine, rich in bright red fruits, with a structure and depth of flavor to match. The wine is gorgeously ripe, opening its heart quickly. Acidity, bitter chocolate and dark cherries go with the tannic core to promise long aging.",Musigny,96,378.0,Burgundy,Musigny,,Roger Voss,@vossroger,Domaine Jacques Prieur 2015 Musigny  (Musigny),Pinot Noir,Domaine Jacques Prieur,2015
21715,France,"A structured wine, with great density of fruit, richness of  texture and at the same time acidity. Its black fruit and red berry flavors are pure and very linear while also giving the wine a full-bodied character.",Echézeaux,95,280.0,Burgundy,Echézeaux,,Roger Voss,@vossroger,Domaine Jacques Prieur 2015 Echézeaux  (Echézeaux),Pinot Noir,Domaine Jacques Prieur,2015
21716,France,"The grandest of all white Burgundy vineyards, Montrachet has produced a powerful, great wine, with impressive ripe, dense fruit. There is still elegance, a sense of proportion, but the opulence of the Chardonnay here is impossible to resist.",,95,328.0,Burgundy,Montrachet,,Roger Voss,@vossroger,Louis Latour 2015  Montrachet,Chardonnay,Louis Latour,2015
21718,France,"A powerful, classic Chambertin, intensely structured and tannic. The sweet black fruit is potentially enormous, still finding its place among the tannins. Spice, with a mineral streak, gives the wine added complexity. Very dense in texture, this will age 10 years and many more.",Chambertin,95,273.0,Burgundy,Chambertin,,Roger Voss,@vossroger,Domaine Jacques Prieur 2015 Chambertin  (Chambertin),Pinot Noir,Domaine Jacques Prieur,2015
21719,France,"A very rich wine, showing all the opulence of 2013. Black plums, damsons and wood flavors are already combined and integrated. The acidity in all this richness and power seems low, leaving the tannins to support aging.",Clos de Saint-Denis,95,234.0,Burgundy,Clos Saint-Denis,,Roger Voss,@vossroger,Domaine Dujac 2015 Clos de Saint-Denis  (Clos Saint-Denis),Pinot Noir,Domaine Dujac,2015
21788,France,Intense fruit and acidity give this wine a brightly refreshing character. It's about lemon and lime flavors with slices of red apple to bring out more sweetness. The aftertaste has a mineral edge that will allow the wine to age. Drink from 2021.,,89,26.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Georges Duboeuf 2019  Saint-Véran,Chardonnay,Georges Duboeuf,2019
21845,France,"Named after the almost gold appearance of the Chardonnay vines at harvest time, this is a soft wine, with hints of the mineral tang that embodies Pouilly Fuissé. It has pear and white peach fruit flavors, soft and ready to drink.",Vallon d'Or,86,23.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Labouré-Roi 2016 Vallon d'Or  (Pouilly-Fuissé),Chardonnay,Labouré-Roi,2016
21853,France,"Coming from the more northerly parts of Burgundy, this is cool Chardonnay, with steel and minerality. It is firmly textured, its apple and quince flavors coming with a more citrus element.",,86,20.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Simonnet-Febvre 2016  Bourgogne,Chardonnay,Simonnet-Febvre,2016
21873,France,"A wine that reveals a textured side of Meursault. It has weight, ripe apricot and pineapple fruit with a refreshing touch of acidity. But the chalky, mineral character equally defines the wine. Age for 3–4 years.",Charmes Premier Cru,92,72.0,Burgundy,Meursault,,Roger Voss,@vossroger,Louis Jadot 2015 Charmes Premier Cru  (Meursault),Chardonnay,Louis Jadot,2015
22040,France,"This unusual blend, occasionally found in Alsace, gives a wine that is full and perfumed. It offers almond and spice flavors along with a tight texture. The wine, with its warm acidity, is ready to drink.",Saveurs de Lyre,85,15.0,Burgundy,,,Roger Voss,@vossroger,Simonnet-Febvre 2020 Saveurs de Lyre ,Chardonnay-Pinot Gris,Simonnet-Febvre,2020
22047,France,"This soft wine has gentle ripe white fruits and lemon-juice flavors. It ends fresh and crisp, with a touch of creaminess to add richness. Drink now.",,85,21.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Verget 2020  Pouilly-Fuissé,Chardonnay,Verget,2020
22054,France,"Ripe and smooth, this rich wine has enough fruitiness and acidity to give a crisper edge, although it is more about a warm, spicy character. Drink now.",,85,16.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Domaine de la Denante 2020  Saint-Véran,Chardonnay,Domaine de la Denante,2020
22064,France,"Smooth and generous, this wine is soft and missing any bite. It is round and unfocused, but ready to drink now.",Le Clos Devouluet Durand-les-Verchès,84,23.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Georges Duboeuf 2020 Le Clos Devouluet Durand-les-Verchès  (Pouilly-Fuissé),Chardonnay,Georges Duboeuf,2020
22066,France,"This open, fruity wine has a soft side. Apples and pears are prominent along with a touch of spice. Drink now.",Domaine de la Chapelle Les Perriers,84,16.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Pascal Rollet 2020 Domaine de la Chapelle Les Perriers  (Saint-Véran),Chardonnay,Pascal Rollet,2020
22326,France,"A finely balanced wine, bringing together the new wood flavors with structured tropical fruits. Plangent acidity is the binding agent, giving an excitingly refreshing wine with a bright finish.",Premier Cru,90,44.0,Burgundy,Saint-Aubin,,Roger Voss,@vossroger,Pierre André 2014 Premier Cru  (Saint-Aubin),Chardonnay,Pierre André,2014
22349,France,"Slow to show its quality, with a little aeration this becomes a superripe wine, its wood element dominated by the intense tropical fruits. There is some balancing restraint in the citrus character, along with the acidity. Enjoy now.",Vieilles Vignes,90,54.0,Burgundy,Meursault,,Roger Voss,@vossroger,Roux Père et Fils 2015 Vieilles Vignes  (Meursault),Chardonnay,Roux Père et Fils,2015
22437,France,"This is a hard-edged wine, a typical trait of young Pommard. It has a firm, dry and tannic character, and the ripe, generous fruit sits underneath. Wait for at least five years for this wine to be ready.",Clos Blanc Premier Cru,89,53.0,Burgundy,Pommard,,Roger Voss,@vossroger,Domaine A. Machard de Gramont 2016 Clos Blanc Premier Cru  (Pommard),Pinot Noir,Domaine A. Machard de Gramont,2016
22438,France,"Full bodied and ripe, this Chardonnay is packed with yellow fruit and pear flavors, and it shows the steely, minerally character typical of Chablis. It has a youthful brightness on the finish, and it will fill out over the next few months.",Vieilles Vignes Fourchaume Premier Cru,89,60.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Vrignaud 2017 Vieilles Vignes Fourchaume Premier Cru  (Chablis),Chardonnay,Domaine Vrignaud,2017
22445,France,"Better known for its red wines, Ladoix's whites are a rarity. This wine is made from fruit sourced from vines that are close to the Corton hill. It is steely, minerally and crisp, with a wood-influenced character. With its structure, this needs at least three years of aging.",Le Clou d'Orge,89,43.0,Burgundy,Ladoix,,Roger Voss,@vossroger,Louis Jadot 2016 Le Clou d'Orge  (Ladoix),Chardonnay,Louis Jadot,2016
22448,France,"With a proportion of premier cru grapes in the blend, this wine has weight and structure as well as the ripe red-fruit flavors that are typical of Santenay. It's richly textured and full in the mouth. The finish is fruity and soft.",,89,43.0,Burgundy,Santenay,,Roger Voss,@vossroger,Olivier Leflaive 2016  Santenay,Pinot Noir,Olivier Leflaive,2016
22496,France,"Just next door to the Corton Grand Cru vines, this vineyard can produce wines of equal quality. This wine certainly has something of the richness and structure, giving it concentration and longevity. Ripe red fruits are cut by dark tannins and equal acidity, allowing the wine to mature slowly and well. Drink from 2024.",Les Petites Lolières Premier Cru,94,48.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Nicolas Potel 2020 Les Petites Lolières Premier Cru  (Aloxe-Corton),Pinot Noir,Nicolas Potel,2020
22503,France,"This wine comes from a vineyard that is wholly owned by Chanson. It is juicy, ripe while having a great, straight line of acidity. The red-berry fruits are still developing and coming through the firm, smoky dark tannins. The wine, with its spicy aftertaste, will be ready to drink from 2024.",Clos des Fèves Premier Cru,94,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2019 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils,2019
22507,France,"This rich wine is dense with dark tannins and concentrated structure. The vineyard, with cool winds from the valley behind, gives wines that demand aging with their tannins and fragrant fruit. The aftertaste is full of promise. Drink after 2022.",Lavaux Saint-Jacques Premier Cru,94,73.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Albert Bichot 2020 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Albert Bichot,2020
22511,France,"This is a rich, smoky and structured wine. Black fruit and dark tannins form a dense texture with touches of licorice, spice and dark concentration. The acidity hints at the vintage giving a touch of freshness and lift. Drink this powerful wine from 2024",Domaine du Clos Frantin Les Malconsorts Premier Cru,94,97.0,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Albert Bichot 2020 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot,2020
22516,France,"A flagship of the Faiveley range, this is a structured wine with great acidity and beautiful perfumes. The wine is dense, already balanced with the red fruits shining through the tannins. It will develop slowly and will not be ready to drink before 2023.",Clos des Cortons Faiveley,94,128.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Faiveley 2020 Clos des Cortons Faiveley  (Corton),Pinot Noir,Domaine Faiveley,2020
22571,France,"A soft, yet also mineral-textured wine. Its lemon and grapefruit flavors are crisp, reflecting the taut structure of the vintage. A fresh wine, with a crisp finish, ready to drink.",,86,19.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Louis Jadot 2016  Mâcon-Villages,Chardonnay,Louis Jadot,2016
22592,France,"Butter and toast flavors give this wine extra richness and some weight. At the same time, the textured citrus and grapefruit flavors combine with the wine's minerality to give a more lively aftertaste.",,86,28.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Vrignaud 2016  Chablis,Chardonnay,Domaine Vrignaud,2016
22692,France,"A delightful, light, strawberry wine. It has a bright, bubbly character and acidity that gives extra life to this classic apéritif wine. There is just a hint of softness from the fruit to finish.",Rosé Brut,87,45.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre NV Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre,
22694,France,"Jessiaume is based in Santenay and the wine shows the attraction of this village at the southern end of the Côte de Beaune. It reveals soft fruit, warmed by a jammy layer of red berries and ripe acidity.",,87,33.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Jessiaume 2014  Santenay,Pinot Noir,Domaine Jessiaume,2014
22911,France,"Crisp with brisk acidity, yet bright with citrus and yellow fruit, this wine shows structure as well as warmth. It's a textured wine that can age over the medium term. Drink now–2022.",Cuvée Signature Les Macherelles Premier Cru,88,57.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2017 Cuvée Signature Les Macherelles Premier Cru  (Chassagne-Montrachet),Chardonnay,Bouchard Aîné & Fils,2017
23024,France,"Celebrating the founding in 1875 of Antonin Rodet, this ripe, perfumed wine has red fruits that are opulent, gloriously drinkable already. It's ripe, softly textured, layered with delicate acidity.",Héritage Rodet,88,31.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Antonin Rodet 2016 Héritage Rodet  (Mercurey),Pinot Noir,Antonin Rodet,2016
23029,France,"Soft and rich, a wine that shows the warmth of the vintage in this southern Burgundy appellation. It's full of yellow fruits with just a hint of pineapple along with a good line in acidity. A sense of minerality and texture appears at the end.",,88,33.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Domaine du Chalet Pouilly 2016  Pouilly-Fuissé,Chardonnay,Domaine du Chalet Pouilly,2016
23045,France,"The largest appellation in the Côte Chalonnaise produces here a foursquare, solid wine. It has red fruits, although the structure is what is dominant at this stage. There is a dry, smoky, meaty flavor that marches with the final acidity.",Buissonnier,88,26.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Vignerons de Buxy 2017 Buissonnier  (Mercurey),Pinot Noir,Vignerons de Buxy,2017
23227,France,"Still young with attractive fresh fruits, this wine needs to age. With its bright acidity and white fruits, it's just beginning to hint at the mineral structure behind. Drink from 2022.",Vaucoupin Premier Cru,89,35.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Ellevin 2019 Vaucoupin Premier Cru  (Chablis),Chardonnay,Domaine Ellevin,2019
23385,France,"This is rounded, rich, missing some acidity but with the compensation of ripe yellow fruits layered with pineapple and spice from wood. With all its sweetness, it is not for aging.",Clos Rochette,87,33.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine Faiveley 2015 Clos Rochette  (Mercurey),Chardonnay,Domaine Faiveley,2015
23433,France,"This is full of fruit and weighty tannins. Coming from one of the finest vineyards in Burgundy, it is going to have great power and an opulent nature. This wine also has elegance, its black fruits controlled and with a mineral edge. That doesn't take away the power, it enhances the stylishness of this grand wine. Drink from 2024.",,96,162.0,Burgundy,Chambertin,,Roger Voss,@vossroger,Domaine Rossignol-Trapet 2017  Chambertin,Pinot Noir,Domaine Rossignol-Trapet,2017
23434,France,"Initially, this is a richly ripe wine with tropical fruit flavors. It also has an immense sense of structure that supports the fruit impressively. It's dense, concentrated, exuding power and solidity, while always keeping a sense of elegance. Drink from 2022.",,96,204.0,Burgundy,Chevalier-Montrachet,,Roger Voss,@vossroger,Bouchard Père & Fils 2017  Chevalier-Montrachet,Chardonnay,Bouchard Père & Fils,2017
23435,France,"This is powerful and rich, allowing just a note of freshness to creep into the firm structure. Dark tannins, black fruits and smoky wood flavors combine harmoniously, lending a sense of great power and long-term aging potential. Drink from 2023.",Le Corton,96,92.0,Burgundy,Corton,,Roger Voss,@vossroger,Bouchard Père & Fils 2017 Le Corton  (Corton),Pinot Noir,Bouchard Père & Fils,2017
23536,France,"This fresh, fruity wine is full of red cherry and berry flavors. A light touch of tannin holds the fruit and acidity together. It's a fine, simple Burgundy, ready to be drunk now.",Beaucharme,85,17.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Louis Max 2019 Beaucharme  (Bourgogne),Pinot Noir,Louis Max,2019
23537,France,"Blending Pinot Noir and Gamay, this wine comes from a new Burgundy-wide appellation that can include fruit from Beaujolais. It's a style of wine that needs to be drunk young and fruity, with black cherry flavors and refreshing acidity. Drink this lively wine now.",,85,13.0,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Louis Max 2020  Coteaux Bourguignons,Pinot Noir-Gamay,Louis Max,2020
23541,France,"Pleasant, soft wine, easy to drink, its fruits round and somewhat dilute. It doesn't resonate, but is certainly fresh and crisp.",,84,43.0,Burgundy,Bourgogne Hautes Côtes de Beaune,,Roger Voss,@vossroger,Domaine Jayer-Gilles 2013  Bourgogne Hautes Côtes de Beaune,Chardonnay,Domaine Jayer-Gilles,2013
23561,France,"Lightweight wine that seems somewhat dilute with flavors of green plums, bright acidity and a very soft texture.",,84,20.0,Burgundy,Petit Chablis,,Roger Voss,@vossroger,Simonnet-Febvre 2014  Petit Chablis,Chardonnay,Simonnet-Febvre,2014
